Product,Tile,Link_Opendap_netcdf4,Link_HTTPS_hdf5,Collection,1000m,500m,8day,Daily,NumericalDiff?,DataType_08u,DataType_08s,DataType_16u,DataType_16s,DataType_32u,DataType_32s,are attributes same?
VNP09H1,h18v03,https://opendap.earthdata.nasa.gov/collections/C2519125808-LPCLOUD/granules/VNP09H1.A2023169.h18v03.002.2023179035600.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09H1.002/VNP09H1.A2023169.h18v03.002.2023179035600/VNP09H1.A2023169.h18v03.002.2023179035600.h5,S.N.VIIRS,F,T,T,F,no,,,,,,,
VNP09H1,h21v09,https://opendap.earthdata.nasa.gov/collections/C2519125808-LPCLOUD/granules/VNP09H1.A2023169.h21v09.002.2023179032045.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09H1.002/VNP09H1.A2023169.h21v09.002.2023179032045/VNP09H1.A2023169.h21v09.002.2023179032045.h5,S.N.VIIRS,F,T,T,F,no,,,,,,,
VJ109A1,h29v07,https://opendap.earthdata.nasa.gov/collections/C2501959919-LPCLOUD/granules/VJ109A1.A2023169.h29v07.002.2023179013129.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109A1.002/VJ109A1.A2023169.h29v07.002.2023179013129/VJ109A1.A2023169.h29v07.002.2023179013129.h5,NOAA-20,T,F,T,F,no,,,,,,,
VJ109A1,h10v09,https://opendap.earthdata.nasa.gov/collections/C2501959919-LPCLOUD/granules/VJ109A1.A2023169.h10v09.002.2023179013955.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109A1.002/VJ109A1.A2023169.h10v09.002.2023179013955/VJ109A1.A2023169.h10v09.002.2023179013955.h5,NOAA-20,T,F,T,F,no,,,,,,,
VJ109A1,h18v03,https://opendap.earthdata.nasa.gov/collections/C2501959919-LPCLOUD/granules/VJ109A1.A2023169.h18v03.002.2023179014747.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109A1.002/VJ109A1.A2023169.h18v03.002.2023179014747/VJ109A1.A2023169.h18v03.002.2023179014747.h5,NOAA-20,T,F,T,F,no,,,,,,,
VJ109A1,h21v09,https://opendap.earthdata.nasa.gov/collections/C2501959919-LPCLOUD/granules/VJ109A1.A2023169.h21v09.002.2023179013937.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109A1.002/VJ109A1.A2023169.h21v09.002.2023179013937/VJ109A1.A2023169.h21v09.002.2023179013937.h5,NOAA-20,T,F,T,F,no,,,,,,,
VJ109GA,h10v03,https://opendap.earthdata.nasa.gov/collections/C2631841524-LPCLOUD/granules/VJ109GA.A2023200.h10v03.002.2023201145627.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109GA.002/VJ109GA.A2023200.h10v03.002.2023201145627/VJ109GA.A2023200.h10v03.002.2023201145627.h5,NOAA-20,T,F,F,T,no,,,,,,,
VJ109GA,h10v09,https://opendap.earthdata.nasa.gov/collections/C2631841524-LPCLOUD/granules/VJ109GA.A2023200.h10v09.002.2023201135416.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109GA.002/VJ109GA.A2023200.h10v09.002.2023201135416/VJ109GA.A2023200.h10v09.002.2023201135416.h5,NOAA-20,T,F,F,T,no,,,,,,,
VJ109GA,h18v03,https://opendap.earthdata.nasa.gov/collections/C2631841524-LPCLOUD/granules/VJ109GA.A2023200.h18v03.002.2023201160102.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109GA.002/VJ109GA.A2023200.h18v03.002.2023201160102/VJ109GA.A2023200.h18v03.002.2023201160102.h5,NOAA-20,T,F,F,T,no,,,,,,,
VJ109GA,h21v09,https://opendap.earthdata.nasa.gov/collections/C2631841524-LPCLOUD/granules/VJ109GA.A2023200.h21v09.002.2023201143913.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109GA.002/VJ109GA.A2023200.h21v09.002.2023201143913/VJ109GA.A2023200.h21v09.002.2023201143913.h5,NOAA-20,T,F,F,T,yes,,,,,,,
VJ109H1,h10v03,https://opendap.earthdata.nasa.gov/collections/C2519120226-LPCLOUD/granules/VJ109H1.A2023169.h10v03.002.2023179020350.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109H1.002/VJ109H1.A2023169.h10v03.002.2023179020350/VJ109H1.A2023169.h10v03.002.2023179020350.h5,NOAA-20,F,T,F,T,no,,,,,,,
VJ109H1,h10v09,https://opendap.earthdata.nasa.gov/collections/C2519120226-LPCLOUD/granules/VJ109H1.A2023169.h10v09.002.2023179013955.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109H1.002/VJ109H1.A2023169.h10v09.002.2023179013955/VJ109H1.A2023169.h10v09.002.2023179013955.h5,NOAA-20,F,T,F,T,no,,,,,,,
VJ109H1,h18v03,https://opendap.earthdata.nasa.gov/collections/C2519120226-LPCLOUD/granules/VJ109H1.A2023169.h18v03.002.2023179014747.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109H1.002/VJ109H1.A2023169.h18v03.002.2023179014747/VJ109H1.A2023169.h18v03.002.2023179014747.h5,NOAA-20,F,T,F,T,no,,,,,,,
VJ109H1,h21v09,https://opendap.earthdata.nasa.gov/collections/C2519120226-LPCLOUD/granules/VJ109H1.A2023169.h21v09.002.2023179013937.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VJ109H1.002/VJ109H1.A2023169.h21v09.002.2023179013937/VJ109H1.A2023169.h21v09.002.2023179013937.h5,NOAA-20,F,T,F,T,no,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
